year, title, artist, src, genre_id
1994, , Burzum, ,
1995, , Ulver, , 6
1996, , Burzum, , 6
1997, , The Eye, , 6
1998, , Forest, , 6
1999, , Summoning, , 6
2000, , Weakling, , 6
2001, , Paysage d'Hiver, , 6
2002, , Negură Bunget, , 6
2003, , Darkspace, , 6
2004, Summoning the Rain, Drudkh, SummoningTheRain.mp3, 6
2005, , Lurker of Chalice, , 6
2006, , Agalloch, , 6
2007, , Wolves in the Throne Room, , 6
2008, , Cold World, , 6
2009, Disciple's Libration - Lost in the Ine Worlds, Blut aus Nord, DisciplesLibration.mp3, 6
2010, , Murmuüre, , 6
2011, Torn Beyond Reason, Woods of Desolation, TornBeyondReason.mp3, 6
2012, , RH-12, , 6
2013, , Gris, , 6
2014, , Bekëth Nexëhmü, , 6
2015, , Panopticon, , 6
2016, , Forteresse, , 6
2017, , The Ruins of Beverast, , 6
2018, , Путь, , 6
2019, , Kalmankantaja, , 6
2020, , Trhä, , 6
2021, , Mare Cognitum, , 6
2022, , Djevel, , 6
2023, , Trhä, , 6
2024, Upon This Shore, Winterfylleth, UponThisShore.mp3, 6
